Size,Window,Iter,CBOW or Skip-gram,RMSE
100,10,10,CBOW,1.0608072431572995
100,10,10,Skip-Gram,0.9337970723754218
100,10,20,CBOW,1.0578055783516787
100,10,20,Skip-Gram,0.9571166672319956
100,10,5,CBOW,1.0498213556300933
100,10,5,Skip-Gram,0.8962118623498666
100,10,8,CBOW,1.0595029350174505
100,10,8,Skip-Gram,0.9237362164767721
100,3,10,CBOW,1.003183640491427
100,3,10,Skip-Gram,0.8799496656007177
100,3,20,CBOW,1.0073588280586616
100,3,20,Skip-Gram,0.9124507132207736
100,3,5,CBOW,0.9799940814960691
100,3,5,Skip-Gram,0.8221392538447317
100,3,8,CBOW,0.9981279748509562
100,3,8,Skip-Gram,0.8644259347551662
100,5,10,CBOW,1.0284775234611025
100,5,10,Skip-Gram,0.9033965544940745
100,5,20,CBOW,1.0279661847845656
100,5,20,Skip-Gram,0.9315126881153434
100,5,5,CBOW,1.0116222231890029
100,5,5,Skip-Gram,0.852257720216367
100,5,8,CBOW,1.0253542887158287
100,5,8,Skip-Gram,0.88987156710377
100,8,10,CBOW,1.0491256255571133
100,8,10,Skip-Gram,0.9238871356929454
100,8,20,CBOW,1.047134719368816
100,8,20,Skip-Gram,0.9481519570553025
100,8,5,CBOW,1.037742827603619
100,8,5,Skip-Gram,0.883317880167658
100,8,8,CBOW,1.0483355759887236
100,8,8,Skip-Gram,0.9120327414648342
150,10,10,CBOW,1.063259074763475
150,10,10,Skip-Gram,0.9611500219243279
150,10,20,CBOW,1.0622636945098862
150,10,20,Skip-Gram,0.9816457863748487
150,10,5,CBOW,1.0492250947654322
150,10,5,Skip-Gram,0.9213463510275077
150,10,8,CBOW,1.0623321670413446
150,10,8,Skip-Gram,0.9515830937909548
150,3,10,CBOW,1.012507505134589
150,3,10,Skip-Gram,0.9068443935311603
150,3,20,CBOW,1.0154674115397735
150,3,20,Skip-Gram,0.9409825286165548
150,3,5,CBOW,0.9857619708873464
150,3,5,Skip-Gram,0.8439187586914315
150,3,8,CBOW,1.0073203051642472
150,3,8,Skip-Gram,0.8905680033585067
150,5,10,CBOW,1.0339111028032495
150,5,10,Skip-Gram,0.9304668741829217
150,5,20,CBOW,1.0357214912837032
150,5,20,Skip-Gram,0.960140805808419
150,5,5,CBOW,1.0156263893324424
150,5,5,Skip-Gram,0.8764349480787574
150,5,8,CBOW,1.032338330572276
150,5,8,Skip-Gram,0.9173098095538992
150,8,10,CBOW,1.0539860986637393
150,8,10,Skip-Gram,0.9533490084193404
150,8,20,CBOW,1.0527399164209208
150,8,20,Skip-Gram,0.9753855971045977
150,8,5,CBOW,1.040519812143717
150,8,5,Skip-Gram,0.9083491867234134
150,8,8,CBOW,1.0526092693898308
150,8,8,Skip-Gram,0.9407010726612751
200,10,10,CBOW,1.0629353619415312
200,10,10,Skip-Gram,0.9784927764947746
200,10,20,CBOW,1.0595934469418369
200,10,20,Skip-Gram,0.9968815744729956
200,10,5,CBOW,1.0511684732222788
200,10,5,Skip-Gram,0.934073174800572
200,10,8,CBOW,1.0623389844928233
200,10,8,Skip-Gram,0.9679948395311491
200,3,10,CBOW,1.0160174298746723
200,3,10,Skip-Gram,0.9223025442400353
200,3,20,CBOW,1.0193537559684145
200,3,20,Skip-Gram,0.9551899253096425
200,3,5,CBOW,0.9892282780566476
200,3,5,Skip-Gram,0.8563193874405496
200,3,8,CBOW,1.0115382938013566
200,3,8,Skip-Gram,0.9059715812425528
200,5,10,CBOW,1.0365755059861073
200,5,10,Skip-Gram,0.9464211342369363
200,5,20,CBOW,1.0374689077235255
200,5,20,Skip-Gram,0.9749472962808433
200,5,5,CBOW,1.0174557618953253
200,5,5,Skip-Gram,0.8888564749398555
200,5,8,CBOW,1.0344028410703556
200,5,8,Skip-Gram,0.9310534921092258
200,8,10,CBOW,1.0540356908211423
200,8,10,Skip-Gram,0.9695886423070053
200,8,20,CBOW,1.0536584208671982
200,8,20,Skip-Gram,0.9910259999218408
200,8,5,CBOW,1.0395593071312703
200,8,5,Skip-Gram,0.9216620030336532
200,8,8,CBOW,1.0532401846380324
200,8,8,Skip-Gram,0.9561686813566039
50,10,10,CBOW,1.0434515682230292
50,10,10,Skip-Gram,0.8783443645442943
50,10,20,CBOW,1.0420719694375877
50,10,20,Skip-Gram,0.8977145857913683
50,10,5,CBOW,1.036661326181128
50,10,5,Skip-Gram,0.8446325744516411
50,10,8,CBOW,1.0413860942909225
50,10,8,Skip-Gram,0.8706217369463337
50,3,10,CBOW,0.9738840784608971
50,3,10,Skip-Gram,0.8208627204977341
50,3,20,CBOW,0.9797872557500472
50,3,20,Skip-Gram,0.8551915431625772
50,3,5,CBOW,0.9568570198724478
50,3,5,Skip-Gram,0.7706486557794527
50,3,8,CBOW,0.9699837812885634
50,3,8,Skip-Gram,0.8070687058540716
50,5,10,CBOW,1.006532128325851
50,5,10,Skip-Gram,0.8445945933518111
50,5,20,CBOW,1.0059233324468724
50,5,20,Skip-Gram,0.8761347597971316
50,5,5,CBOW,0.9930152916615671
50,5,5,Skip-Gram,0.8026797015401617
50,5,8,CBOW,1.0014074758181157
50,5,8,Skip-Gram,0.8339356615319082
50,8,10,CBOW,1.0321592254185932
50,8,10,Skip-Gram,0.8700844133201976
50,8,20,CBOW,1.0293329379861695
50,8,20,Skip-Gram,0.8927880961277289
50,8,5,CBOW,1.0244647431919836
50,8,5,Skip-Gram,0.8341419907196123
50,8,8,CBOW,1.0310175468652596
50,8,8,Skip-Gram,0.8606369678667629
